iter	Passed	Remaining
0	1	129
1	1	94
2	2	78
3	2	71
4	3	66
5	3	62
6	4	60
7	5	59
8	5	58
9	6	56
10	6	56
11	7	54
12	8	53
13	9	55
14	9	54
15	10	53
16	10	52
17	11	51
18	11	50
19	12	49
20	12	48
21	13	47
22	14	46
23	14	45
24	14	44
25	15	43
26	16	43
27	16	42
28	17	42
29	17	41
30	18	41
31	18	40
32	19	39
33	20	39
34	20	38
35	21	38
36	22	37
37	22	36
38	23	36
39	23	35
40	24	34
41	24	33
42	24	33
43	25	32
44	25	31
45	26	31
46	26	30
47	27	29
48	28	29
49	28	28
50	29	28
51	29	27
52	30	26
53	30	26
54	31	25
55	31	24
56	32	24
57	32	23
58	33	23
59	34	22
60	34	22
61	35	21
62	35	21
63	36	20
64	36	19
65	37	19
66	37	18
67	38	18
68	39	17
69	39	16
70	40	16
71	40	15
72	41	15
73	41	14
74	42	14
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	46	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	52	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
